year,round_number,round,region,winner_name,winner_seed,winner_points,not_winner_name,not_winner_seed,not_winner_points
1985,0,First round,region_0,Georgetown,1,68,Lehigh,16,43
1985,0,First round,region_0,Temple,8,60,Virginia Tech,9,57
1985,0,First round,region_0,SMU,5,85,Old Dominion,12,68
1985,0,First round,region_0,Loyola (IL),4,59,Iona,13,58
1985,0,First round,region_0,Georgia,6,67,Wichita State,11,59
1985,0,First round,region_0,Illinois,3,76,Northeastern,14,57
1985,0,First round,region_0,Syracuse,7,70,DePaul,10,65
1985,0,First round,region_0,Georgia Tech,2,65,Mercer,15,58
1985,0,First round,region_1,Oklahoma,1,96,North Carolina A&T,16,83
1985,0,First round,region_1,Illinois State,9,58,USC,8,55
1985,0,First round,region_1,Louisiana Tech,5,78,Pitt,12,54
1985,0,First round,region_1,Ohio State,4,75,Iowa State,13,64
1985,0,First round,region_1,Boston College,11,55,Texas Tech,6,53
1985,0,First round,region_1,Duke,3,75,Pepperdine,14,62
1985,0,First round,region_1,Alabama-Birmingham,7,70,Michigan State,10,68
1985,0,First round,region_1,Memphis,2,67,Penn,15,55
1985,0,First round,region_2,Michigan,1,59,Fairleigh Dickinson,16,55
1985,0,First round,region_2,Villanova,8,51,Dayton,9,49
1985,0,First round,region_2,Maryland,5,69,Miami (OH),12,68
1985,0,First round,region_2,Navy,13,78,LSU,4,55
1985,0,First round,region_2,Auburn,11,59,Purdue,6,58
1985,0,First round,region_2,Kansas,3,49,Ohio,14,38
1985,0,First round,region_2,Notre Dame,7,79,Oregon State,10,70
1985,0,First round,region_2,UNC,2,76,Middle Tennessee,15,57
1985,0,First round,region_3,St. John's (NY),1,83,Southern,16,59
1985,0,First round,region_3,Arkansas,9,63,Iowa,8,54
1985,0,First round,region_3,Kentucky,12,66,Washington,5,58
1985,0,First round,region_3,UNLV,4,85,San Diego State,13,80
1985,0,First round,region_3,UTEP,11,79,Tulsa,6,75
1985,0,First round,region_3,North Carolina State,3,65,Nevada,14,56
1985,0,First round,region_3,Alabama,7,50,Arizona,10,41
1985,0,First round,region_3,VCU,2,81,Marshall,15,65
1985,1,Second round,region_0,Georgetown,1,63,Temple,8,46
1985,1,Second round,region_0,Loyola (IL),4,70,SMU,5,57
1985,1,Second round,region_0,Illinois,3,74,Georgia,6,58
1985,1,Second round,region_0,Georgia Tech,2,70,Syracuse,7,53
1985,1,Second round,region_1,Oklahoma,1,75,Illinois State,9,69
1985,1,Second round,region_1,Louisiana Tech,5,79,Ohio State,4,67
1985,1,Second round,region_1,Boston College,11,74,Duke,3,73
1985,1,Second round,region_1,Memphis,2,67,Alabama-Birmingham,7,66
1985,1,Second round,region_2,Villanova,8,59,Michigan,1,55
1985,1,Second round,region_2,Maryland,5,64,Navy,13,59
1985,1,Second round,region_2,Auburn,11,66,Kansas,3,64
1985,1,Second round,region_2,UNC,2,60,Notre Dame,7,58
1985,1,Second round,region_3,St. John's (NY),1,68,Arkansas,9,65
1985,1,Second round,region_3,Kentucky,12,64,UNLV,4,61
1985,1,Second round,region_3,North Carolina State,3,86,UTEP,11,73
1985,1,Second round,region_3,Alabama,7,63,VCU,2,59
1985,2,Sweet Sixteen,region_0,Georgetown,1,65,Loyola (IL),4,53
1985,2,Sweet Sixteen,region_0,Georgia Tech,2,61,Illinois,3,53
1985,2,Sweet Sixteen,region_1,Oklahoma,1,86,Louisiana Tech,5,84
1985,2,Sweet Sixteen,region_1,Memphis,2,59,Boston College,11,57
1985,2,Sweet Sixteen,region_2,Villanova,8,46,Maryland,5,43
1985,2,Sweet Sixteen,region_2,UNC,2,62,Auburn,11,56
1985,2,Sweet Sixteen,region_3,St. John's (NY),1,86,Kentucky,12,70
1985,2,Sweet Sixteen,region_3,North Carolina State,3,61,Alabama,7,55
1985,3,Elite Eight,region_0,Georgetown,1,60,Georgia Tech,2,54
1985,3,Elite Eight,region_1,Memphis,2,63,Oklahoma,1,61
1985,3,Elite Eight,region_2,Villanova,8,56,UNC,2,44
1985,3,Elite Eight,region_3,St. John's (NY),1,69,North Carolina State,3,60
1985,4,Final Four,region_4,Villanova,8,52,Memphis,2,45
1985,4,Final Four,region_4,Georgetown,1,77,St. John's (NY),1,59
1985,5,Championship,region_4,Villanova,8,66,Georgetown,1,64
1986,0,First round,region_0,Duke,1,85,Mississippi Valley State,16,78
1986,0,First round,region_0,Old Dominion,8,72,West Virginia,9,64
1986,0,First round,region_0,DePaul,12,72,Virginia,5,68
1986,0,First round,region_0,Oklahoma,4,80,Northeastern,13,74
1986,0,First round,region_0,St. Joseph's,6,60,Richmond,11,59
1986,0,First round,region_0,Cleveland State,14,83,Indiana,3,79
1986,0,First round,region_0,Navy,7,87,Tulsa,10,68
1986,0,First round,region_0,Syracuse,2,101,Brown,15,52
1986,0,First round,region_1,Kansas,1,71,North Carolina A&T,16,46
1986,0,First round,region_1,Temple,9,61,Jacksonville,8,50
1986,0,First round,region_1,Michigan State,5,72,Washington,12,70
1986,0,First round,region_1,Georgetown,4,70,Texas Tech,13,64
1986,0,First round,region_1,North Carolina State,6,66,Iowa,11,64
1986,0,First round,region_1,Arkansas-Little Rock,14,90,Notre Dame,3,83
1986,0,First round,region_1,Iowa State,7,81,Miami (OH),10,79
1986,0,First round,region_1,Michigan,2,70,Akron,15,64
1986,0,First round,region_2,Kentucky,1,75,Davidson,16,55
1986,0,First round,region_2,Western Kentucky,8,67,Nebraska,9,59
1986,0,First round,region_2,Alabama,5,97,Xavier,12,80
1986,0,First round,region_2,Illinois,4,75,Fairfield,13,51
1986,0,First round,region_2,LSU,11,94,Purdue,6,87
1986,0,First round,region_2,Memphis,3,95,Ball State,14,63
1986,0,First round,region_2,Villanova,10,71,Virginia Tech,7,62
1986,0,First round,region_2,Georgia Tech,2,68,Marist,15,53
1986,0,First round,region_3,St. John's (NY),1,83,Montana State,16,74
1986,0,First round,region_3,Auburn,8,73,Arizona,9,63
1986,0,First round,region_3,Maryland,5,69,Pepperdine,12,64
1986,0,First round,region_3,UNLV,4,74,Louisiana-Monroe,13,51
1986,0,First round,region_3,Alabama-Birmingham,6,66,Missouri,11,64
1986,0,First round,region_3,UNC,3,84,Utah,14,72
1986,0,First round,region_3,Bradley,7,83,UTEP,10,65
1986,0,First round,region_3,Louisville,2,93,Drexel,15,73
1986,1,Second round,region_0,Duke,1,89,Old Dominion,8,61
1986,1,Second round,region_0,DePaul,12,74,Oklahoma,4,69
1986,1,Second round,region_0,Cleveland State,14,75,St. Joseph's,6,69
1986,1,Second round,region_0,Navy,7,97,Syracuse,2,85
1986,1,Second round,region_1,Kansas,1,65,Temple,9,43
1986,1,Second round,region_1,Michigan State,5,80,Georgetown,4,68
1986,1,Second round,region_1,North Carolina State,6,80,Arkansas-Little Rock,14,66
1986,1,Second round,region_1,Iowa State,7,72,Michigan,2,69
1986,1,Second round,region_2,Kentucky,1,71,Western Kentucky,8,64
1986,1,Second round,region_2,Alabama,5,58,Illinois,4,56
1986,1,Second round,region_2,LSU,11,83,Memphis,3,81
1986,1,Second round,region_2,Georgia Tech,2,66,Villanova,10,61
1986,1,Second round,region_3,Auburn,8,81,St. John's (NY),1,65
1986,1,Second round,region_3,UNLV,4,70,Maryland,5,64
1986,1,Second round,region_3,UNC,3,77,Alabama-Birmingham,6,59
1986,1,Second round,region_3,Louisville,2,82,Bradley,7,68
1986,2,Sweet Sixteen,region_0,Duke,1,74,DePaul,12,67
1986,2,Sweet Sixteen,region_0,Navy,7,71,Cleveland State,14,70
1986,2,Sweet Sixteen,region_1,Kansas,1,96,Michigan State,5,86
1986,2,Sweet Sixteen,region_1,North Carolina State,6,70,Iowa State,7,66
1986,2,Sweet Sixteen,region_2,Kentucky,1,68,Alabama,5,63
1986,2,Sweet Sixteen,region_2,LSU,11,70,Georgia Tech,2,64
1986,2,Sweet Sixteen,region_3,Auburn,8,70,UNLV,4,63
1986,2,Sweet Sixteen,region_3,Louisville,2,94,UNC,3,79
1986,3,Elite Eight,region_0,Duke,1,71,Navy,7,50
1986,3,Elite Eight,region_1,Kansas,1,75,North Carolina State,6,67
1986,3,Elite Eight,region_2,LSU,11,59,Kentucky,1,57
1986,3,Elite Eight,region_3,Louisville,2,84,Auburn,8,76
1986,4,Final Four,region_4,Louisville,2,88,LSU,11,77
1986,4,Final Four,region_4,Duke,1,71,Kansas,1,67
1986,5,Championship,region_4,Louisville,2,72,Duke,1,69
1987,0,First round,region_0,UNC,1,113,Penn,16,82
1987,0,First round,region_0,Michigan,9,97,Navy,8,82
1987,0,First round,region_0,Notre Dame,5,84,Middle Tennessee,12,71
1987,0,First round,region_0,Texas Christian,4,76,Marshall,13,60
1987,0,First round,region_0,Florida,6,82,North Carolina State,11,70
1987,0,First round,region_0,Purdue,3,104,Northeastern,14,95
1987,0,First round,region_0,Western Kentucky,10,64,West Virginia,7,62
1987,0,First round,region_0,Syracuse,2,79,Georgia Southern,15,73
1987,0,First round,region_1,Indiana,1,92,Fairfield,16,58
1987,0,First round,region_1,Auburn,8,62,San Diego,9,61
1987,0,First round,region_1,Duke,5,58,Texas A&M,12,51
1987,0,First round,region_1,Xavier,13,70,Missouri,4,69
1987,0,First round,region_1,St. John's (NY),6,57,Wichita State,11,55
1987,0,First round,region_1,DePaul,3,76,Louisiana Tech,14,62
1987,0,First round,region_1,LSU,10,85,Georgia Tech,7,79
1987,0,First round,region_1,Temple,2,75,Southern,15,56
1987,0,First round,region_2,Georgetown,1,75,Bucknell,16,53
1987,0,First round,region_2,Ohio State,9,91,Kentucky,8,77
1987,0,First round,region_2,Kansas,5,66,Houston,12,55
1987,0,First round,region_2,Missouri State,13,65,Clemson,4,60
1987,0,First round,region_2,Providence,6,90,Alabama-Birmingham,11,68
1987,0,First round,region_2,Austin Peay,14,68,Illinois,3,67
1987,0,First round,region_2,New Orleans,7,83,BYU,10,79
1987,0,First round,region_2,Alabama,2,88,North Carolina A&T,15,71
1987,0,First round,region_3,UNLV,1,95,Idaho State,16,70
1987,0,First round,region_3,Kansas State,9,82,Georgia,8,79
1987,0,First round,region_3,Wyoming,12,64,Virginia,5,60
1987,0,First round,region_3,UCLA,4,92,Central Michigan,13,73
1987,0,First round,region_3,Oklahoma,6,74,Tulsa,11,69
1987,0,First round,region_3,Pitt,3,93,Marist,14,68
1987,0,First round,region_3,UTEP,7,98,Arizona,10,91
1987,0,First round,region_3,Iowa,2,99,Santa Clara,15,76
1987,1,Second round,region_0,UNC,1,109,Michigan,9,97
1987,1,Second round,region_0,Notre Dame,5,58,Texas Christian,4,57
1987,1,Second round,region_0,Florida,6,85,Purdue,3,66
1987,1,Second round,region_0,Syracuse,2,104,Western Kentucky,10,86
1987,1,Second round,region_1,Indiana,1,107,Auburn,8,90
1987,1,Second round,region_1,Duke,5,65,Xavier,13,60
1987,1,Second round,region_1,DePaul,3,83,St. John's (NY),6,75
1987,1,Second round,region_1,LSU,10,72,Temple,2,62
1987,1,Second round,region_2,Georgetown,1,82,Ohio State,9,79
1987,1,Second round,region_2,Kansas,5,67,Missouri State,13,63
1987,1,Second round,region_2,Providence,6,90,Austin Peay,14,87
1987,1,Second round,region_2,Alabama,2,101,New Orleans,7,76
1987,1,Second round,region_3,UNLV,1,80,Kansas State,9,61
1987,1,Second round,region_3,Wyoming,12,78,UCLA,4,68
1987,1,Second round,region_3,Oklahoma,6,96,Pitt,3,93
1987,1,Second round,region_3,Iowa,2,84,UTEP,7,82
1987,2,Sweet Sixteen,region_0,UNC,1,74,Notre Dame,5,68
1987,2,Sweet Sixteen,region_0,Syracuse,2,87,Florida,6,81
1987,2,Sweet Sixteen,region_1,Indiana,1,88,Duke,5,82
1987,2,Sweet Sixteen,region_1,LSU,10,63,DePaul,3,58
1987,2,Sweet Sixteen,region_2,Georgetown,1,70,Kansas,5,57
1987,2,Sweet Sixteen,region_2,Providence,6,103,Alabama,2,82
1987,2,Sweet Sixteen,region_3,UNLV,1,92,Wyoming,12,78
1987,2,Sweet Sixteen,region_3,Iowa,2,93,Oklahoma,6,91
1987,3,Elite Eight,region_0,Syracuse,2,79,UNC,1,75
1987,3,Elite Eight,region_1,Indiana,1,77,LSU,10,76
1987,3,Elite Eight,region_2,Providence,6,88,Georgetown,1,73
1987,3,Elite Eight,region_3,UNLV,1,84,Iowa,2,81
1987,4,Final Four,region_4,Indiana,1,97,UNLV,1,93
1987,4,Final Four,region_4,Syracuse,2,77,Providence,6,63
1987,5,Championship,region_4,Indiana,1,74,Syracuse,2,73
1988,0,First round,region_0,Temple,1,87,Lehigh,16,73
1988,0,First round,region_0,Georgetown,8,66,LSU,9,63
1988,0,First round,region_0,Georgia Tech,5,90,Iowa State,12,78
1988,0,First round,region_0,Richmond,13,72,Indiana,4,69
1988,0,First round,region_0,Rhode Island,11,87,Missouri,6,80
1988,0,First round,region_0,Syracuse,3,69,North Carolina A&T,14,55
1988,0,First round,region_0,SMU,7,83,Notre Dame,10,75
1988,0,First round,region_0,Duke,2,85,Boston University,15,69
1988,0,First round,region_1,Purdue,1,94,Fairleigh Dickinson,16,79
1988,0,First round,region_1,Memphis,9,75,Baylor,8,60
1988,0,First round,region_1,DePaul,5,83,Wichita State,12,62
1988,0,First round,region_1,Kansas State,4,66,La Salle,13,53
1988,0,First round,region_1,Kansas,6,85,Xavier,11,72
1988,0,First round,region_1,Murray State,14,78,North Carolina State,3,75
1988,0,First round,region_1,Vanderbilt,7,80,Utah State,10,77
1988,0,First round,region_1,Pitt,2,108,Eastern Michigan,15,90
1988,0,First round,region_2,Oklahoma,1,94,Chattanooga,16,66
1988,0,First round,region_2,Auburn,8,90,Bradley,9,86
1988,0,First round,region_2,Louisville,5,70,Oregon State,12,61
1988,0,First round,region_2,BYU,4,98,Charlotte,13,92
1988,0,First round,region_2,Villanova,6,82,Arkansas,11,74
1988,0,First round,region_2,Illinois,3,81,UTSA,14,72
1988,0,First round,region_2,Maryland,7,92,UCSB,10,82
1988,0,First round,region_2,Kentucky,2,99,Southern,15,84
1988,0,First round,region_3,Arizona,1,90,Cornell,16,50
1988,0,First round,region_3,Seton Hall,8,80,UTEP,9,64
1988,0,First round,region_3,Iowa,5,102,Florida State,12,98
1988,0,First round,region_3,UNLV,4,54,Missouri State,13,50
1988,0,First round,region_3,Florida,6,62,St. John's (NY),11,59
1988,0,First round,region_3,Michigan,3,63,Boise State,14,58
1988,0,First round,region_3,Loyola Marymount,10,119,Wyoming,7,115
1988,0,First round,region_3,UNC,2,83,North Texas,15,65
1988,1,Second round,region_0,Temple,1,74,Georgetown,8,53
1988,1,Second round,region_0,Richmond,13,59,Georgia Tech,5,55
1988,1,Second round,region_0,Rhode Island,11,97,Syracuse,3,94
1988,1,Second round,region_0,Duke,2,94,SMU,7,79
1988,1,Second round,region_1,Purdue,1,100,Memphis,9,73
1988,1,Second round,region_1,Kansas State,4,66,DePaul,5,58
1988,1,Second round,region_1,Kansas,6,61,Murray State,14,58
1988,1,Second round,region_1,Vanderbilt,7,80,Pitt,2,74
1988,1,Second round,region_2,Oklahoma,1,107,Auburn,8,87
1988,1,Second round,region_2,Louisville,5,97,BYU,4,76
1988,1,Second round,region_2,Villanova,6,66,Illinois,3,63
1988,1,Second round,region_2,Kentucky,2,90,Maryland,7,81
1988,1,Second round,region_3,Arizona,1,84,Seton Hall,8,55
1988,1,Second round,region_3,Iowa,5,104,UNLV,4,86
1988,1,Second round,region_3,Michigan,3,108,Florida,6,85
1988,1,Second round,region_3,UNC,2,123,Loyola Marymount,10,97
1988,2,Sweet Sixteen,region_0,Temple,1,69,Richmond,13,47
1988,2,Sweet Sixteen,region_0,Duke,2,73,Rhode Island,11,72
1988,2,Sweet Sixteen,region_1,Kansas State,4,73,Purdue,1,70
1988,2,Sweet Sixteen,region_1,Kansas,6,77,Vanderbilt,7,64
1988,2,Sweet Sixteen,region_2,Oklahoma,1,108,Louisville,5,98
1988,2,Sweet Sixteen,region_2,Villanova,6,80,Kentucky,2,74
1988,2,Sweet Sixteen,region_3,Arizona,1,99,Iowa,5,79
1988,2,Sweet Sixteen,region_3,UNC,2,78,Michigan,3,69
1988,3,Elite Eight,region_0,Duke,2,63,Temple,1,53
1988,3,Elite Eight,region_1,Kansas,6,71,Kansas State,4,58
1988,3,Elite Eight,region_2,Oklahoma,1,78,Villanova,6,59
1988,3,Elite Eight,region_3,Arizona,1,70,UNC,2,52
1988,4,Final Four,region_4,Kansas,6,66,Duke,2,59
1988,4,Final Four,region_4,Oklahoma,1,86,Arizona,1,78
1988,5,Championship,region_4,Kansas,6,83,Oklahoma,1,79
1989,0,First round,region_0,Georgetown,1,50,Princeton,16,49
1989,0,First round,region_0,Notre Dame,9,81,Vanderbilt,8,65
1989,0,First round,region_0,North Carolina State,5,81,South Carolina,12,66
1989,0,First round,region_0,Iowa,4,87,Rutgers,13,73
1989,0,First round,region_0,Minnesota,11,86,Kansas State,6,75
1989,0,First round,region_0,Siena,14,80,Stanford,3,78
1989,0,First round,region_0,West Virginia,7,84,Tennessee,10,68
1989,0,First round,region_0,Duke,2,90,South Carolina State,15,69
1989,0,First round,region_1,Illinois,1,77,McNeese State,16,71
1989,0,First round,region_1,Ball State,9,68,Pitt,8,64
1989,0,First round,region_1,Arkansas,5,120,Loyola Marymount,12,101
1989,0,First round,region_1,Louisville,4,76,Arkansas-Little Rock,13,71
1989,0,First round,region_1,Texas,11,76,Georgia Tech,6,70
1989,0,First round,region_1,Missouri,3,85,Creighton,14,69
1989,0,First round,region_1,Colorado State,10,68,Florida,7,46
1989,0,First round,region_1,Syracuse,2,104,Bucknell,15,81
1989,0,First round,region_2,Oklahoma,1,72,ETSU,16,71
1989,0,First round,region_2,Louisiana Tech,9,83,La Salle,8,74
1989,0,First round,region_2,Virginia,5,100,Providence,12,97
1989,0,First round,region_2,Middle Tennessee,13,97,Florida State,4,83
1989,0,First round,region_2,South Alabama,11,86,Alabama,6,84
1989,0,First round,region_2,Michigan,3,92,Xavier,14,87
1989,0,First round,region_2,UCLA,7,84,Iowa State,10,74
1989,0,First round,region_2,UNC,2,93,Southern,15,79
1989,0,First round,region_3,Arizona,1,94,Robert Morris,16,60
1989,0,First round,region_3,Clemson,9,83,Saint Mary's (CA),8,70
1989,0,First round,region_3,DePaul,12,66,Memphis,5,63
1989,0,First round,region_3,UNLV,4,68,Idaho,13,56
1989,0,First round,region_3,Evansville,11,94,Oregon State,6,90
1989,0,First round,region_3,Seton Hall,3,60,Missouri State,14,51
1989,0,First round,region_3,UTEP,7,85,LSU,10,74
1989,0,First round,region_3,Indiana,2,99,George Mason,15,85
1989,1,Second round,region_0,Georgetown,1,81,Notre Dame,9,74
1989,1,Second round,region_0,North Carolina State,5,102,Iowa,4,96
1989,1,Second round,region_0,Minnesota,11,80,Siena,14,67
1989,1,Second round,region_0,Duke,2,70,West Virginia,7,63
1989,1,Second round,region_1,Illinois,1,72,Ball State,9,60
1989,1,Second round,region_1,Louisville,4,93,Arkansas,5,84
1989,1,Second round,region_1,Missouri,3,108,Texas,11,89
1989,1,Second round,region_1,Syracuse,2,65,Colorado State,10,50
1989,1,Second round,region_2,Oklahoma,1,124,Louisiana Tech,9,81
1989,1,Second round,region_2,Virginia,5,104,Middle Tennessee,13,88
1989,1,Second round,region_2,Michigan,3,91,South Alabama,11,82
1989,1,Second round,region_2,UNC,2,88,UCLA,7,81
1989,1,Second round,region_3,Arizona,1,94,Clemson,9,68
1989,1,Second round,region_3,UNLV,4,85,DePaul,12,70
1989,1,Second round,region_3,Seton Hall,3,87,Evansville,11,73
1989,1,Second round,region_3,Indiana,2,92,UTEP,7,69
1989,2,Sweet Sixteen,region_0,Georgetown,1,69,North Carolina State,5,61
1989,2,Sweet Sixteen,region_0,Duke,2,87,Minnesota,11,70
1989,2,Sweet Sixteen,region_1,Illinois,1,83,Louisville,4,69
1989,2,Sweet Sixteen,region_1,Syracuse,2,83,Missouri,3,80
1989,2,Sweet Sixteen,region_2,Virginia,5,86,Oklahoma,1,80
1989,2,Sweet Sixteen,region_2,Michigan,3,92,UNC,2,87
1989,2,Sweet Sixteen,region_3,UNLV,4,68,Arizona,1,67
1989,2,Sweet Sixteen,region_3,Seton Hall,3,78,Indiana,2,65
1989,3,Elite Eight,region_0,Duke,2,85,Georgetown,1,77
1989,3,Elite Eight,region_1,Illinois,1,89,Syracuse,2,86
1989,3,Elite Eight,region_2,Michigan,3,102,Virginia,5,65
1989,3,Elite Eight,region_3,Seton Hall,3,84,UNLV,4,61
1989,4,Final Four,region_4,Michigan,3,83,Illinois,1,81
1989,4,Final Four,region_4,Seton Hall,3,95,Duke,2,78
1989,5,Championship,region_4,Michigan,3,80,Seton Hall,3,79
1990,0,First round,region_0,UConn,1,76,Boston University,16,52
1990,0,First round,region_0,University of California,9,65,Indiana,8,63
1990,0,First round,region_0,Clemson,5,49,BYU,12,47
1990,0,First round,region_0,La Salle,4,79,Southern Miss,13,63
1990,0,First round,region_0,St. John's (NY),6,81,Temple,11,65
1990,0,First round,region_0,Duke,3,81,Richmond,14,46
1990,0,First round,region_0,UCLA,7,68,Alabama-Birmingham,10,56
1990,0,First round,region_0,Kansas,2,79,Robert Morris,15,71
1990,0,First round,region_1,Oklahoma,1,77,Towson,16,68
1990,0,First round,region_1,UNC,8,83,Missouri State,9,70
1990,0,First round,region_1,Dayton,12,88,Illinois,5,86
1990,0,First round,region_1,Arkansas,4,68,Princeton,13,64
1990,0,First round,region_1,Xavier,6,87,Kansas State,11,79
1990,0,First round,region_1,Georgetown,3,70,Texas Southern,14,52
1990,0,First round,region_1,Texas,10,100,Georgia,7,88
1990,0,First round,region_1,Purdue,2,75,Louisiana-Monroe,15,63
1990,0,First round,region_2,Michigan State,1,75,Murray State,16,71
1990,0,First round,region_2,UCSB,9,70,Houston,8,66
1990,0,First round,region_2,LSU,5,70,Villanova,12,63
1990,0,First round,region_2,Georgia Tech,4,99,ETSU,13,83
1990,0,First round,region_2,Minnesota,6,64,UTEP,11,61
1990,0,First round,region_2,Northern Iowa,14,74,Missouri,3,71
1990,0,First round,region_2,Virginia,7,75,Notre Dame,10,67
1990,0,First round,region_2,Syracuse,2,70,Coppin State,15,48
1990,0,First round,region_3,UNLV,1,102,Arkansas-Little Rock,16,72
1990,0,First round,region_3,Ohio State,8,84,Providence,9,83
1990,0,First round,region_3,Ball State,12,54,Oregon State,5,53
1990,0,First round,region_3,Louisville,4,78,Idaho,13,59
1990,0,First round,region_3,Loyola Marymount,11,111,New Mexico State,6,92
1990,0,First round,region_3,Michigan,3,76,Illinois State,14,70
1990,0,First round,region_3,Alabama,7,71,Colorado State,10,54
1990,0,First round,region_3,Arizona,2,79,South Florida,15,67
1990,1,Second round,region_0,UConn,1,74,University of California,9,54
1990,1,Second round,region_0,Clemson,5,79,La Salle,4,75
1990,1,Second round,region_0,Duke,3,76,St. John's (NY),6,72
1990,1,Second round,region_0,UCLA,7,71,Kansas,2,70
1990,1,Second round,region_1,UNC,8,79,Oklahoma,1,77
1990,1,Second round,region_1,Arkansas,4,86,Dayton,12,84
1990,1,Second round,region_1,Xavier,6,74,Georgetown,3,71
1990,1,Second round,region_1,Texas,10,73,Purdue,2,72
1990,1,Second round,region_2,Michigan State,1,62,UCSB,9,58
1990,1,Second round,region_2,Georgia Tech,4,94,LSU,5,91
1990,1,Second round,region_2,Minnesota,6,81,Northern Iowa,14,78
1990,1,Second round,region_2,Syracuse,2,63,Virginia,7,61
1990,1,Second round,region_3,UNLV,1,76,Ohio State,8,65
1990,1,Second round,region_3,Ball State,12,62,Louisville,4,60
1990,1,Second round,region_3,Loyola Marymount,11,149,Michigan,3,115
1990,1,Second round,region_3,Alabama,7,77,Arizona,2,55
1990,2,Sweet Sixteen,region_0,UConn,1,71,Clemson,5,70
1990,2,Sweet Sixteen,region_0,Duke,3,90,UCLA,7,81
1990,2,Sweet Sixteen,region_1,Arkansas,4,96,UNC,8,73
1990,2,Sweet Sixteen,region_1,Texas,10,102,Xavier,6,89
1990,2,Sweet Sixteen,region_2,Georgia Tech,4,81,Michigan State,1,80
1990,2,Sweet Sixteen,region_2,Minnesota,6,82,Syracuse,2,75
1990,2,Sweet Sixteen,region_3,UNLV,1,69,Ball State,12,67
1990,2,Sweet Sixteen,region_3,Loyola Marymount,11,62,Alabama,7,60
1990,3,Elite Eight,region_0,Duke,3,79,UConn,1,78
1990,3,Elite Eight,region_1,Arkansas,4,88,Texas,10,85
1990,3,Elite Eight,region_2,Georgia Tech,4,93,Minnesota,6,91
1990,3,Elite Eight,region_3,UNLV,1,131,Loyola Marymount,11,101
1990,4,Final Four,region_4,UNLV,1,90,Georgia Tech,4,81
1990,4,Final Four,region_4,Duke,3,97,Arkansas,4,83
1990,5,Championship,region_4,UNLV,1,103,Duke,3,73
1991,0,First round,region_0,UNC,1,101,Northeastern,16,66
1991,0,First round,region_0,Villanova,9,50,Princeton,8,48
1991,0,First round,region_0,Eastern Michigan,12,76,Mississippi State,5,56
1991,0,First round,region_0,Penn State,13,74,UCLA,4,69
1991,0,First round,region_0,North Carolina State,6,114,Southern Miss,11,85
1991,0,First round,region_0,Oklahoma State,3,67,New Mexico,14,54
1991,0,First round,region_0,Temple,10,80,Purdue,7,63
1991,0,First round,region_0,Richmond,15,73,Syracuse,2,69
1991,0,First round,region_1,Ohio State,1,97,Towson,16,86
1991,0,First round,region_1,Georgia Tech,8,87,DePaul,9,70
1991,0,First round,region_1,Texas,5,73,St. Peter's,12,65
1991,0,First round,region_1,St. John's (NY),4,75,Northern Illinois,13,68
1991,0,First round,region_1,UConn,11,79,LSU,6,62
1991,0,First round,region_1,Xavier,14,89,Nebraska,3,84
1991,0,First round,region_1,Iowa,7,76,ETSU,10,73
1991,0,First round,region_1,Duke,2,102,Louisiana-Monroe,15,73
1991,0,First round,region_2,Arkansas,1,117,Georgia State,16,76
1991,0,First round,region_2,Arizona State,8,79,Rutgers,9,76
1991,0,First round,region_2,Wake Forest,5,71,Louisiana Tech,12,65
1991,0,First round,region_2,Alabama,4,89,Murray State,13,79
1991,0,First round,region_2,Pitt,6,76,Georgia,11,68
1991,0,First round,region_2,Kansas,3,55,New Orleans,14,49
1991,0,First round,region_2,Florida State,7,75,USC,10,72
1991,0,First round,region_2,Indiana,2,79,Coastal Carolina,15,69
1991,0,First round,region_3,UNLV,1,99,Montana,16,65
1991,0,First round,region_3,Georgetown,8,70,Vanderbilt,9,60
1991,0,First round,region_3,Michigan State,5,60,Green Bay,12,58
1991,0,First round,region_3,Utah,4,82,South Alabama,13,72
1991,0,First round,region_3,Creighton,11,64,New Mexico State,6,56
1991,0,First round,region_3,Seton Hall,3,71,Pepperdine,14,51
1991,0,First round,region_3,BYU,10,61,Virginia,7,48
1991,0,First round,region_3,Arizona,2,93,Saint Francis (PA),15,80
1991,1,Second round,region_0,UNC,1,84,Villanova,9,69
1991,1,Second round,region_0,Eastern Michigan,12,71,Penn State,13,68
1991,1,Second round,region_0,Oklahoma State,3,73,North Carolina State,6,64
1991,1,Second round,region_0,Temple,10,77,Richmond,15,64
1991,1,Second round,region_1,Ohio State,1,65,Georgia Tech,8,61
1991,1,Second round,region_1,St. John's (NY),4,84,Texas,5,76
1991,1,Second round,region_1,UConn,11,66,Xavier,14,50
1991,1,Second round,region_1,Duke,2,85,Iowa,7,70
1991,1,Second round,region_2,Arkansas,1,97,Arizona State,8,90
1991,1,Second round,region_2,Alabama,4,96,Wake Forest,5,88
1991,1,Second round,region_2,Kansas,3,77,Pitt,6,66
1991,1,Second round,region_2,Indiana,2,82,Florida State,7,60
1991,1,Second round,region_3,UNLV,1,62,Georgetown,8,54
1991,1,Second round,region_3,Utah,4,85,Michigan State,5,84
